SpeciesID,ScientificName,Scientific.Name.with.Author,CommonNameA,CommonNameB,Family,WetlandStatus
COOH,Collema ohioense,Collema ohioense (Fink) Zahlbr.,,,,
COCO27,Coffea congensis,Coffea congensis Froehner,congo coffee,,Rubiaceae,
COCO28,Commelina coelestis,Commelina coelestis Willd.,commelina,,Commelinaceae,
COCO3,Commelina communis,Commelina communis L.,Asiatic dayflower,Asiatic Dayflower,Commelinaceae,FAC
COCOC3,Commelina communis,Commelina communis L. var. communis,,Asiatic Dayflower,,FAC
COCOL,Commelina communis,Commelina communis L. var. ludens (Miq.) C.B. Clarke,,Asiatic Dayflower,,FAC
CODE9,Commelina debilis,Commelina debilis Ledeb.,,,,
COWI4,Commelina willdenowii,Commelina willdenowii Kunth,,,,
COCO30,Corylus colurna,Corylus colurna L.,Turkish hazelnut,,Betulaceae,
COCO31,Conardia compacta,Conardia compacta (Müll. Hal.) H. Rob.,compact conardia moss,,Amblystegiaceae,
AMAM9,Amblystegium americanum,Amblystegium americanum Grout,,,,
AMCO16,Amblystegium compactum,Amblystegium compactum (Müll. Hal.) Austin,,,,
RHCO15,Rhynchostegiella compacta,Rhynchostegiella compacta (Müll. Hal.) Loeske,,,,
RHCOA,Rhynchostegiella compacta,"Rhynchostegiella compacta (Müll. Hal.) Loeske var. americana (Grout) H.A. Crum, Steere & L.E. Anderson",,,,
COCO32,Cornus controversa,Cornus controversa Hemsl. ex Prain,giant dogwood,,Cornaceae,
COCO33,Coronilla coronata,Coronilla coronata L.,,,Fabaceae,
COMO10,Coronilla montana,Coronilla montana Jacq.,,,,
COCO37,Cololejeunea contractiloba,Cololejeunea contractiloba A. Evans,,,Lejeuneaceae,
COCO38,Conocephalum conicum,Conocephalum conicum (L.) Dumort.,,,Conocephalaceae,
COCO39,Corsinia coriandrina,Corsinia coriandrina (Spreng.) Lindb.,,,Corsiniaceae,
COCO5,Cordia collococca,Cordia collococca L.,red manjack,,Boraginaceae,
COGL11,Cordia glabra,Cordia glabra auct. non L.,,,,
COCO6,Corylus cornuta,Corylus cornuta Marshall,beaked hazelnut,Beaked Hazelnut,Betulaceae,FACU
COCO7,Cotula coronopifolia,Cotula coronopifolia L.,common brassbuttons,Common Brassbuttons,Asteraceae,
COCO8,Coccoloba costata,Coccoloba costata C. Wright ex Sauvalle,uvilla,,Polygonaceae,
CORU10,Coccoloba rupicola,Coccoloba rupicola Urb.,,,,
COCO9,Corema conradii,Corema conradii (Torr.) Torr. ex Loudon,broom crowberry,,Empetraceae,
COCOC,Corylus cornuta,Corylus cornuta Marshall var. californica (A. DC.) Sharp,California hazelnut,Beaked Hazelnut,Betulaceae,FACU
COCA23,Corylus californica,Corylus californica (A. DC.) Rose,,,,
COCOC9,Corylus cornuta,Corylus cornuta Marshall ssp. californica (A. DC.) A.E. Murray,,Beaked Hazelnut,,FACU
COCOG2,Corylus cornuta,Corylus cornuta Marshall var. glandulosa B. Boivin,,Beaked Hazelnut,,FACU
COCOC2,Corylus cornuta,Corylus cornuta Marshall var. cornuta,beaked hazelnut,Beaked Hazelnut,Betulaceae,FACU
CORO5,Corylus rostrata,Corylus rostrata Aiton,,,,
COCOC4,Collema conglomeratum,Collema conglomeratum Hoffm. var. crassiusculum (Malme) Degel.,conglomerate jelly lichen,,Collemataceae,
COCY6,Collema cyrtaspis,Collema cyrtaspis Tuck.,,,,
COPY4,Collema pycnocarpum,Collema pycnocarpum Nyl.,,,,
SYPY,Synechoblastus pycnocarpus,Synechoblastus pycnocarpus Nyl.,,,,
COCOC5,Corylus colurna,Corylus colurna L. var. colurna,Turkish hazelnut,,Betulaceae,
COCOC6,Corylus colurna,Corylus colurna L. var. chinensis (Franchet) Burkill,Chinese hazelnut,,Betulaceae,
COCH7,Corylus chinensis,Corylus chinensis Franchet,,,,
COCOC7,Collema conglomeratum,Collema conglomeratum Hoffm. var. corynesporum (Malme) Degel.,,,Collemataceae,
COCOS,Cocos L.,Cocos L.,coconut palm,,Arecaceae,
COCR11,Cotoneaster ×crispii,Cotoneaster ×crispii Exell,,,Rosaceae,
COCR12,Corchoropsis crenata,Corchoropsis crenata Siebold & Zucc.,corchoropsis,,Tiliaceae,
COTO8,Corchoropsis tomentosa,Corchoropsis tomentosa Makino,,,,
COTO9,Corchorus tomentosus,"Corchorus tomentosus Thunb., nom. illeg.",,,,
COCR2,Corydalis crystallina,Corydalis crystallina Engelm.,mealy fumewort,,Fumariaceae,
CACR18,Capnoides crystallinum,Capnoides crystallinum (Engelm.) Kuntze,,,,
COCR6,Collema crispum,Collema crispum (Huds.) F.H. Wigg.,jelly lichen,,Collemataceae,
COCH6,Collema cheileum,Collema cheileum (Ach.) Ach.,,,,
COCR7,Collema cristatum,Collema cristatum (L.) F.H. Wigg.,jelly lichen,,Collemataceae,
COCR70,Coscinodon cribrosus,Coscinodon cribrosus (Hedw.) Spruce,coscinodon moss,,Grimmiaceae,
GRCR70,Grimmia cribrosa,Grimmia cribrosa Hedw.,,,,
COCRC,Corchoropsis crenata,Corchoropsis crenata Siebold & Zucc. var. crenata,corchoropsis,,Tiliaceae,
COCRM,Collema cristatum,Collema cristatum (L.) F.H. Wigg. var. marginale (Huds.) Degel.,,,Collemataceae,
COCU,Colubrina cubensis,Colubrina cubensis (Jacq.) Brongn.,Cuban nakedwood,,Rhamnaceae,
COCU2,Corydalis curvisiliqua,Corydalis curvisiliqua Engelm.,curvepod fumewort,,Fumariaceae,
COCU4,Cordia curassavica,Cordia curassavica (Jacq.) Roem. & Schult.,black sage,,Boraginaceae,
COCU5,Collema curtisporum,Collema curtisporum Degel.,jelly lichen,,Collemataceae,
COCU6,Comocladia cuneata,Comocladia cuneata Britton [excluded],,,Anacardiaceae,
COCUC,Corydalis curvisiliqua,Corydalis curvisiliqua Engelm. ssp. curvisiliqua,curvepod fumewort,,Fumariaceae,
COCUF,Colubrina cubensis,Colubrina cubensis (Jacq.) Brongn. var. floridana M.C. Johnst.,Cuban nakedwood,,Rhamnaceae,
COCUG2,Corydalis curvisiliqua,Corydalis curvisiliqua Engelm. ssp. grandibracteata (Fedde) G.B. Ownbey,curvepod fumewort,,Fumariaceae,
COCUG,Corydalis curvisiliqua,Corydalis curvisiliqua Engelm. var. grandibracteata Fedde,,,,
COCUO,Corydalis curvisiliqua,Corydalis curvisiliqua Engelm. ssp. occidentalis (Engelm. ex A. Gray) W.A. Weber,curvepod fumewort,,Fumariaceae,
CAMO18,Capnoides montanum,Capnoides montanum (Engelm.) Britton,,,,
COAUO,Corydalis aurea,Corydalis aurea Willd. var. occidentalis Engelm. ex A. Gray,,,,
COAUO2,Corydalis aurea,Corydalis aurea Willd. ssp. occidentalis (Engelm. ex A. Gray) G.B. Ownbey,,,,
COMO6,Corydalis montana,Corydalis montana Engelm.,,,,
COCY,Coelorachis cylindrica,Coelorachis cylindrica (Michx.) Nash,cylinder jointtail grass,Carolina Joint-Tail Grass,Poaceae,FAC
MACA16,Manisuris campestris,Manisuris campestris (Nutt.) Hitchc.,,,,
MACY6,Manisuris cylindrica,Manisuris cylindrica (Michx.) Kuntze,,,,
MNCY,Mnesithea cylindrica,Mnesithea cylindrica (Michx.) Koning & Sosef,,,,
COCY3,Coprosma cymosa,Coprosma cymosa Hillebr.,Hawai'i mirrorplant,,Rubiaceae,
CODA5,Cotoneaster dammeri,Cotoneaster dammeri C.K. Schneid.,,,Rosaceae,
CODA6,Cochlearia danica,Cochlearia danica L. [excluded],,,Brassicaceae,
CODAR,Codariocalyx Hassk.,Codariocalyx Hassk.,tick trefoil,,Fabaceae,
CODAR2,Cotoneaster dammeri,Cotoneaster dammeri C.K. Schneid. var. radicans Dammer ex C.K. Schneid.,,,Rosaceae,
CODE,Collomia debilis,Collomia debilis (S. Watson) Greene,alpine collomia,,Polemoniaceae,
CODE13,Comocladia dentata,Comocladia dentata Jacq. [excluded],,,Anacardiaceae,
CODE3,Coreopsis delphiniifolia,Coreopsis delphiniifolia Lam.,larkspurleaf tickseed,,Asteraceae,
CODEC2,Coreopsis delphiniifolia,Coreopsis delphiniifolia Lam. var. chlooidea Sherff,,,,
COMAL,Coreopsis major,Coreopsis major Walter var. linearis Small,,,,
CODEC,Collomia debilis,Collomia debilis (S. Watson) Greene var. camporum Payson,alpine collomia,,Polemoniaceae,
CODED,Collomia debilis,Collomia debilis (S. Watson) Greene var. debilis,alpine collomia,,Polemoniaceae,
CODEI,Collomia debilis,Collomia debilis (S. Watson) Greene var. ipomoea Payson,,,,
CODET2,Collomia debilis,Collomia debilis (S. Watson) Greene var. typica Payson,,,,
CODET,Collomia debilis,Collomia debilis (S. Watson) Greene var. trifida Payson,alpine collomia,,Polemoniaceae,
CODEI2,Collomia debilis,Collomia debilis (S. Watson) Greene var. integra Payson,,,,
CODI,Cocculus diversifolius,Cocculus diversifolius DC.,snailseed,,Menispermaceae,
CODI12,Coenogonium disjunctum,Coenogonium disjunctum Nyl.,disjunct coenogonium lichen,,Gyalectaceae,
CODI13,Collema dichotomum,Collema dichotomum (With.) Coppins & J.R. Laundon,forked jelly lichen,,Collemataceae,
COFL11,Collema fluviatile,Collema fluviatile (Huds.) Steud.,,,,
COST16,Collema stenophyllum,Collema stenophyllum Nyl.,,,,
CODI16,Cotoneaster dielsianus,Cotoneaster dielsianus E. Pritz.,Diels' cotoneaster,,Rosaceae,
CODI18,Cordia dichotoma,Cordia dichotoma G. Forst.,fragrant manjack,Fragrant Manjack,Boraginaceae,UPL
CODI19,Cotoneaster divaricatus,Cotoneaster divaricatus Rehder & E.H. Wilson,spreading cotoneaster,,Rosaceae,
CODI2,Collomia diversifolia,Collomia diversifolia Greene,serpentine collomia,,Polemoniaceae,
CODI20,Corymbia dichromophloia,Corymbia dichromophloia (F. Muell.) K.D. Hill & L.A.S. Johnson,,,Myrtaceae,
EUDI11,Eucalyptus dichromophloia,Eucalyptus dichromophloia F. Muell.,,,,
CODI3,Comarostaphylis diversifolia,Comarostaphylis diversifolia (Parry) Greene,summer holly,,Ericaceae,
CODI4,Commelina dianthifolia,Commelina dianthifolia Delile,birdbill dayflower,,Commelinaceae,
CODI5,Commelina diffusa,Commelina diffusa Burm. f.,climbing dayflower,Climbing Dayflower,Commelinaceae,FACW
CODI6,Coronopus didymus,Coronopus didymus (L.) Sm.,lesser swinecress,,Brassicaceae,
CADI21,Carara didyma,Carara didyma (L.) Britton,,,,
LEDI4,Lepidium didymum,Lepidium didymum L.,,,,
CODI8,Coccoloba diversifolia,Coccoloba diversifolia Jacq.,tietongue,,Polygonaceae,
COFL12,Coccoloba floridana,Coccoloba floridana Meissn.,,,,
COLA10,Coccoloba laurifolia,Coccoloba laurifolia auct. non Jacq.,,,,
CODIA,Codiaeum Juss.,Codiaeum Juss.,codiaeum,,Euphorbiaceae,
CODID,Commelina dianthifolia,Commelina dianthifolia Delile var. dianthifolia,birdbill dayflower,,Commelinaceae,
CODID2,Comarostaphylis diversifolia,Comarostaphylis diversifolia (Parry) Greene ssp. diversifolia,summer holly,,Ericaceae,
ARDI16,Arctostaphylos diversifolia,Arctostaphylos diversifolia (Parry) Parry ex A. Gray,,,,
CODID3,Commelina diffusa,Commelina diffusa Burm. f. var. diffusa,climbing dayflower,Climbing Dayflower,Commelinaceae,FACW
COLO11,Commelina longicaulis,Commelina longicaulis Jacq.,,,,
CODIE2,Cotoneaster dielsianus,Cotoneaster dielsianus E. Pritz. var. elegans Rehder & E.H. Wilson,,,Rosaceae,
CODIG,Commelina diffusa,Commelina diffusa Burm. f. var. gigas (Small) Faden,climbing dayflower,Climbing Dayflower,Commelinaceae,FACW
COGI2,Commelina gigas,Commelina gigas Small,,,,
CODIL,Commelina dianthifolia,Commelina dianthifolia Delile var. longispatha (Torr.) Brashier,birdbill dayflower,,Commelinaceae,
COLIL,Commelina linearis,Commelina linearis Benth. var. longispatha Torr.,,,,
CODIP,Comarostaphylis diversifolia,Comarostaphylis diversifolia (Parry) Greene ssp. planifolia (Jeps.) G. Wallace ex Thorne,summer holly,,Ericaceae,
CODIP2,Comarostaphylis diversifolia,Comarostaphylis diversifolia (Parry) Greene var. planifolia Jeps.,,,,
CODO,Comocladia dodonaea,Comocladia dodonaea (L.) Urb.,poison ash,,Anacardiaceae,
CODO2,Coreopsis douglasii,Coreopsis douglasii (DC.) H.M. Hall,Douglas' tickseed,,Asteraceae,
COSTJ,Coreopsis stillmanii,Coreopsis stillmanii (A. Gray) S.F. Blake var. jonesii Sherff,,,,
LEDO5,Leptosyne douglasii,Leptosyne douglasii DC.,,,,
CODO3,Coccocarpia domingensis,Coccocarpia domingensis Vain.,Domingan coccocarpia lichen,,Coccocarpiaceae,
CODON,Codonopsis Wall.,Codonopsis Wall.,,,Campanulaceae,
CODR,Cornus drummondii,Cornus drummondii C.A. Mey.,roughleaf dogwood,Rough-Leaf Dogwood,Cornaceae,FAC
COPR4,Cornus priceae,Cornus priceae Small,,,,
SWPR,Swida priceae,Swida priceae (Small) Small,,,,
CODR2,Cooperia drummondii,Cooperia drummondii Herb.,evening rainlily,,Liliaceae,
COCH8,Cooperia chlorosolen,Cooperia chlorosolen Herb.,,Evening Rain-Lily,,FACU
ZEBR,Zephyranthes brazosensis,Zephyranthes brazosensis (Herb.) Traub,,,,
ZEHE,Zephyranthes herbertiana,Zephyranthes herbertiana D. Dietr.,,,,
COEC,Coryphantha echinus,Coryphantha echinus (Engelm.) Britton & Rose,rhinoceros cactus,,Cactaceae,
COCOE,Coryphantha cornifera,Coryphantha cornifera (DC.) Lem. var. echinus (Engelm.) L.D. Benson,,,,
COPE2,Coryphantha pectinata,Coryphantha pectinata (Engelm.) Britton & Rose,,,,
MAEC,Mammillaria echinus,Mammillaria echinus Engelm.,,,,
COEL2,Colubrina elliptica,Colubrina elliptica (Sw.) Briz. & Stern,soldierwood,,Rhamnaceae,
CORE7,Colubrina reclinata,Colubrina reclinata (L'Hér.) Brongn.,,,,
COEL3,Coprosma elliptica,Coprosma elliptica W.R.B. Oliv.,bog mirrorplant,Bog Mirrorplant,Rubiaceae,
COELO,Coelorachis Brongn.,Coelorachis Brongn.,jointtail grass,,Poaceae,
COELO2,Coelogyne Lindl.,Coelogyne Lindl.,coelogyne orchid,,Orchidaceae,
CAELO2,"Caelogyne Lindl.,","Caelogyne Lindl., database artifact",,,,
COEM3,Coronilla emerus,Coronilla emerus L.,scorpion senna,,Fabaceae,
COENO,Coenogonium Ehrenb.,Coenogonium Ehrenb.,coenogonium lichen,,Gyalectaceae,
COEQ,Convolvulus equitans,Convolvulus equitans Benth.,Texas bindweed,Texas Bindweed,Convolvulaceae,FACU
COHE9,Convolvulus hermannioides,Convolvulus hermannioides A. Gray,,,,
COSI4,Convolvulus simulans,Convolvulus simulans L.M. Perry,,,,
COER,Commelina erecta,Commelina erecta L.,whitemouth dayflower,White-Mouth Dayflower,Commelinaceae,FACU
COER2,Conocarpus erectus,Conocarpus erectus L.,button mangrove,Button Mangrove,Combretaceae,FACW
COERS,Conocarpus erectus,Conocarpus erectus L. var. sericeus Fors ex DC.,,Button Mangrove,,FACW
COER3,Coprosma ernodeoides,Coprosma ernodeoides A. Gray,'aiakanene,Aiakanene,Rubiaceae,
COERM,Coprosma ernodeoides,Coprosma ernodeoides A. Gray var. mauiensis H. St. John,,Aiakanene,,
COER5,Condalia ericoides,Condalia ericoides (A. Gray) M.C. Johnst.,javelina bush,,Rhamnaceae,
MIER,Microrhamnus ericoides,Microrhamnus ericoides A. Gray,,,,
COER6,Cordylanthus eremicus,Cordylanthus eremicus (Coville & Morton) Munz,desert bird's-beak,Desert Bird's-Beak,Scrophulariaceae,
COER8,Coccocarpia erythroxyli,Coccocarpia erythroxyli (Spreng.) Swinscow & Krog,coccocarpia lichen,,Coccocarpiaceae,
COIN12,Coccocarpia incisa,Coccocarpia incisa Pers.,,,,
COPA30,Coccocarpia parmelioides,Coccocarpia parmelioides (Hook.) Tuck. ex M.A. Curtis,,,,
COER9,Convolvulus erubescens,Convolvulus erubescens Sims,pinkflower bindweed,,Convolvulaceae,
COERA,Commelina erecta,Commelina erecta L. var. angustifolia (Michx.) Fernald,whitemouth dayflower,White-Mouth Dayflower,Commelinaceae,FACU
COAN8,Commelina angustifolia,Commelina angustifolia Michx.,,,,
COCR4,Commelina crispa,Commelina crispa Wooton,,,,
COERC,Commelina erecta,Commelina erecta L. var. crispa (Wooton) Palmer & Steyerm.,,White-Mouth Dayflower,,FACU
CONA,Commelina nashii,Commelina nashii Small,,,,
COERD,Commelina erecta,Commelina erecta L. var. deamiana Fernald,whitemouth dayflower,White-Mouth Dayflower,Commelinaceae,FACU
COERG,Commelina erecta,Commelina erecta L. var. greenei Fassett,,White-Mouth Dayflower,,FACU
COERE,Commelina erecta,Commelina erecta L. var. erecta,whitemouth dayflower,White-Mouth Dayflower,Commelinaceae,FACU
COEL4,Commelina elegans,Commelina elegans Kunth,,,,
COSA3,Commelina saxicola,Commelina saxicola Small,,,,
COERE2,Cordylanthus eremicus,Cordylanthus eremicus (Coville & Morton) Munz ssp. eremicus,desert bird's-beak,Desert Bird's-Beak,Scrophulariaceae,
COBE,Cordylanthus bernardinus,Cordylanthus bernardinus Munz,,,,
CORAE,Cordylanthus ramosus,Cordylanthus ramosus Nutt. ex Benth. ssp. eremicus (Coville & Morton) Munz,,Bushy Bird's-Beak,,
COERK,Cordylanthus eremicus,Cordylanthus eremicus (Coville & Morton) Munz ssp. kernensis T.I. Chuang & Heckard,Kern Plateau bird's-beak,Desert Bird's-Beak,Scrophulariaceae,
COES,Colocasia esculenta,Colocasia esculenta (L.) Schott,coco yam,Coco-Yam,Araceae,FACW
COESA,Colocasia esculenta,Colocasia esculenta (L.) Schott var. antiquorum (Schott) Hubbard & Rehder,coco yam,Coco-Yam,Araceae,FACW
COAN5,Colocasia antiquorum,Colocasia antiquorum Schott,,,,
COESA2,Colocasia esculenta,Colocasia esculenta (L.) Schott var. aquatilis Hassk.,coco yam,Coco-Yam,Araceae,FACW
COESE,Colocasia esculenta,Colocasia esculenta (L.) Schott var. esculenta,coco yam,Coco-Yam,Araceae,FACW
ARES4,Arum esculentum,Arum esculentum L.,,,,
COESN,Colocasia esculenta,Colocasia esculenta (L.) Schott var. nymphiifolia (Vent.) A.F. Hill,coco yam,Coco-Yam,Araceae,FACW
COET,Conradina etonia,Conradina etonia Kral & McCartney,Etoniah rosemary,,Lamiaceae,
COEX2,Corymbia eximia,Corymbia eximia (Schauer) K.D. Hill & L.A.S. Johnson,yellow bloodwood,,Myrtaceae,
EUEX8,Eucalyptus eximia,Eucalyptus eximia Schauer,,,,
COFA,Coreopsis falcata,Coreopsis falcata Boynt.,sickle tickseed,Sickle Tickseed,Asteraceae,FACW
COFA2,Comparettia falcata,Comparettia falcata Poepp. & Endl.,snail orchid,,Orchidaceae,
COFA4,Collema fasciculare,Collema fasciculare (L.) F.H. Wigg.,jelly lichen,,Collemataceae,
SYAG,Synechoblastus aggregatus,Synechoblastus aggregatus (Ach.) Th. Fr.,,,,
COFA6,Corynephorus fasciculatus,Corynephorus fasciculatus Boiss. & Reut.,,,Poaceae,
COFE4,Collema fecundum,Collema fecundum Degel.,fecund jelly lichen,,Collemataceae,
COFE5,Corylus ferox,Corylus ferox Wall.,Himalayan hazelnut,,Betulaceae,
COFEF,Corylus ferox,Corylus ferox Wall. var. ferox,Himalayan hazelnut,,Betulaceae,
COFET,Corylus ferox,Corylus ferox Wall. var. thibetica (Batalin) Franchet,Tibetan hazelnut,,Betulaceae,
COTH2,Corylus thibetica,Corylus thibetica Batalin,,,,
COFFE,Coffea L.,Coffea L.,coffee,,Rubiaceae,
COFI2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt.,common sandaster,,Asteraceae,
COFI7,Corymbia ficifolia,Corymbia ficifolia (F. Muell.) K.D. Hill & L.A.S. Johnson,redflower gum,,Myrtaceae,
EUFI81,Eucalyptus ficifolia,Eucalyptus ficifolia F. Muell.,,,,
COFIC,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. californica (DC.) J.P. Saroyan,California sandaster,,Asteraceae,
COCA11,Corethrogyne californica,Corethrogyne californica DC.,,,,
COCAC5,Corethrogyne californica,Corethrogyne californica DC. var. californica,,,,
COCAL,Corethrogyne californica,Corethrogyne californica DC. var. lyonii S.F. Blake,,,,
COCAO,Corethrogyne californica,Corethrogyne californica DC. var. obovata (Benth.) Kuntze,,,,
COOB8,Corethrogyne obovata,Corethrogyne obovata Benth.,,,,
LEFIC2,Lessingia filaginifolia,Lessingia filaginifolia (Hook. & Arn.) M.A. Lane var. californica (DC.) M.A. Lane,,,,
COFIF,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. filaginifolia,common sandaster,,Asteraceae,
COFIB,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. bernardina (Abrams) H.M. Hall,,,,
COFIB2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. brevicula (Greene) Canby,,,,
COFIG,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. glomerata H.M. Hall,,,,
COFIH,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. hamiltonensis D.D. Keck,,,,
COFII,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. incana (Nutt.) Canby,,,,
COFIL,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. latifolia H.M. Hall,,,,
COFIL2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. linifolia H.M. Hall,,,,
COFIP,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. peirsonii Canby,,,,
COFIP2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. pinetorum I.M. Johnst.,,,,
COFIR,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. robusta Greene,,,,
COFIR2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. rigida A. Gray,,,,
COFIS,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. sessilis (Greene) Canby,,,,
COFIV,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. virgata (Benth.) A. Gray,,,,
COFIV2,Corethrogyne filaginifolia,Corethrogyne filaginifolia (Hook. & Arn.) Nutt. var. viscidula (Greene) D.D. Keck,,,,
COFL8,Corethrogyne flagellaris,Corethrogyne flagellaris Greene,,,,
COFL9,Corethrogyne floccosa,Corethrogyne floccosa Greene,,,,
COIN8,Corethrogyne incana,Corethrogyne incana Nutt.,,,,
COLE2,Corethrogyne leucophylla,Corethrogyne leucophylla (Lindl.) Jeps.,,,,
COLI9,Corethrogyne linifolia,Corethrogyne linifolia (H.M. Hall) Ferris,,,,
COSC8,Corethrogyne scabra,Corethrogyne scabra Greene,,,,
COSE15,Corethrogyne sessilis,Corethrogyne sessilis Greene,,,,
COTO3,Corethrogyne tomentella,Corethrogyne tomentella (Hook. & Arn.) Torr. & A. Gray,,,,
COVI14,Corethrogyne viscidula,Corethrogyne viscidula Greene,,,,
LEFI11,Lessingia filaginifolia,Lessingia filaginifolia (Hook. & Arn.) M.A. Lane,,,,
COFL,Conyza floribunda,Conyza floribunda Kunth,asthmaweed,,Asteraceae,
COBI3,Conyza bilboana,Conyza bilboana Remy,,,,
COBOL,Conyza bonariensis,Conyza bonariensis (L.) Cronquist var. leiotheca (S.F. Blake) Cuatrec.,,,,
ERBI5,Erigeron bilboanus,Erigeron bilboanus (Remy) Cabrera,,,,
ERFL15,Erigeron floribundus,Erigeron floribundus (Kunth) Sch. Bip.,,,,
COFL2,Cornus florida,Cornus florida L.,flowering dogwood,Flowering Dogwood,Cornaceae,FACU
BEFL,Benthamidia florida,Benthamidia florida (L.) Spach,,,,
CYFL7,Cynoxylon floridum,Cynoxylon floridum (L.) Raf. ex B.D. Jacks.,,,,
COFL3,Corydalis flavula,Corydalis flavula (Raf.) DC.,yellow fumewort,Yellow Fumewort,Fumariaceae,FACU
CAFL26,Capnoides flavulum,Capnoides flavulum (Raf.) Kuntze,,,,
FUFL,Fumaria flavula,Fumaria flavula Raf.,,,,
COFL4,Cochleanthes flabelliformis,Cochleanthes flabelliformis (Sw.) R.E. Schult. & Garay,fanshape orchid,,Orchidaceae,
WAFL,Warscewiczella flabelliformis,Warscewiczella flabelliformis (Sw.) Cogn.,,,,
COFL6,Coreopsis floridana,Coreopsis floridana E.B. Sm.,Florida tickseed,Florida Tickseed,Asteraceae,OBL
COFL7,Collema flaccidum,Collema flaccidum (Ach.) Ach.,jelly lichen,,Collemataceae,
SYRU4,Synechoblastus rupestris,Synechoblastus rupestris (Sw.) Trevis.,,,,
COFO,Cornus foemina,Cornus foemina Mill.,stiff dogwood,Stiff Dogwood,Cornaceae,FACW
COST13,Cornus stricta,Cornus stricta Lam.,,,,
SWFO,Swida foemina,Swida foemina (Mill.) Rydb.,,,,
SWST,Swida stricta,Swida stricta (Lam.) Small,,,,
COFO2,Coprosma foliosa,Coprosma foliosa A. Gray,forest mirrorplant,Forest Mirrorplant,Rubiaceae,
COFA3,Coprosma fauriei,Coprosma fauriei Levl.,,,,
COFAL,Coprosma fauriei,Coprosma fauriei Levl. var. lanaiensis W.R.B. Oliv.,,,,
COFAO,Coprosma fauriei,Coprosma fauriei Levl. var. oahuensis W.R.B. Oliv.,,,,
COSK,Coprosma skottsbergiana,Coprosma skottsbergiana W.R.B. Oliv.,,,,
COST9,Coprosma stephanocarpa,Coprosma stephanocarpa Hillebr.,,,,
COFO3,Commelina forskaolii,Commelina forskaolii Vahl,rat's ear,,Commelinaceae,
COFO6,Cotoneaster foveolatus,Cotoneaster foveolatus Rehder & E.H. Wilson,,,Rosaceae,
COFO7,Corymborkis forcipigera,Corymborkis forcipigera (Rchb. f. & Warszewicz) L.O. Williams,lime orchid,,Orchidaceae,
COFR11,Cotoneaster frigidus,Cotoneaster frigidus Wall. ex Lindl.,,,Rosaceae,
COFR2,Cordyline fruticosa,Cordyline fruticosa (L.) A. Chev,tiplant,Tiplant,Liliaceae,
COFR6,Convallaria fruticosa,Convallaria fruticosa L.,,,,
COTE12,Cordyline terminalis,Cordyline terminalis (L.) Kunth,,,,
COTET3,Cordyline terminalis,Cordyline terminalis (L.) Kunth var. ti (Schott) Baker,,,,
DRTE3,Dracaena terminalis,Dracaena terminalis (L.) L.,,,,
COFR3,Cotoneaster franchetii,Cotoneaster franchetii Boiss.,orange cotoneaster,,Rosaceae,
COFR8,Collema fragrans,Collema fragrans (Sm.) Ach.,jelly lichen,,Collemataceae,
COMI10,Collema microphyllum,Collema microphyllum Ach.,,,,
COFR9,Cornus ×friedlanderi,Cornus ×friedlanderi W.H. Wagner,dogwood,,Cornaceae,
SWFR,Swida ×friedlanderi,Swida ×friedlanderi (W.H. Wagner) Holub,,,,
COFRS,Cotoneaster franchetii,Cotoneaster franchetii Boiss. var. sternianus Turrill,,,Rosaceae,
COST18,Cotoneaster sternianus,Cotoneaster sternianus (Turrill) Boom,,,,
COFU3,Collema furfuraceum,Collema furfuraceum (Arnold) Du Rietz,jelly lichen,,Collemataceae,
COFU4,Corticifraga fuckelii,Corticifraga fuckelii (Rehm) D. Hawksw. & R. Sant.,Fuckel's corticifraga lichen,,Uncertain Ascomycota Family,
PHFU3,Phragmonaevia fuckelii,Phragmonaevia fuckelii Rehm,,,,
COFU60,Collema fuscovirens,Collema fuscovirens (With.) J.R. Laundon,jelly lichen,,Collemataceae,
